facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
St Elizabeth Lorugum Health Centre,2.8923053,35.2650163,Level 3,Turkana,Loima,Turkwel,open,Health Center,Faith Based
Loruk Dispensary (East Pokot),0.7192522,36.0381815,Level 2,Baringo,Tiaty East,Loiyamorok,open,Dispensary,Government/Public Entity
Losogwa Dispensary,0.0438183,36.299191,Level 2,Laikipia,Laikipia West,Igwamiti,open,Dispensary,Government/Public Entity
Lowarengak Health Centre,4.2790106,35.8970569,Level 3,Turkana,Turkana North,Lakezone,open,Health Center,Faith Based
Lower Solai Dispensary,0.078873,36.1697154,Level 2,Nakuru,Rongai,Solai,open,Dispensary,Government/Public Entity
Loyapat Dispensary,1.8365667,35.4791592,Level 2,Turkana,Turkana South,Lobokat,open,Dispensary,Government/Public Entity
Luguget Dispensary,1.0837217,35.6169433,Level 2,Elgeyo Marakwet,Marakwet East,Sambirir,open,Dispensary,Government/Public Entity
Lukhome Health Centre,0.9048874,34.8564126,Level 3,Trans Nzoia,Saboti,Machewa,open,Health Center,Government/Public Entity
Luoniek Dispensary,0.7125286,36.5439572,Level 2,Laikipia,Laikipia North,Sosian,open,Dispensary,Government/Public Entity
Elephant Dental Clinic -Matuu (Machakos),-1.1466392,37.5483933,Level 2,Machakos,NA,Matuu,open,Medical Clinic,Private
Maasai Medical Centre,-1.476313,36.9570533,Level 2,Kajiado,Kajiado East,Oloosirkon/Sholinke,open,Medical Center,Private
Maiela Health Centre,-0.8877486,36.1995297,Level 3,Nakuru,Naivasha,Maeilla,open,Health Center,Government/Public Entity
Maai Mahiu Health centre,-0.9772399,36.5838392,Level 3,Nakuru,Naivasha,Mai Mahiu,open,Health Center,Government/Public Entity
Mailwa Dispensary,-2.3286457,36.9630034,Level 2,Kajiado,Kajiado Central,Matapato South,open,Dispensary,Government/Public Entity
Maina Dispensary,1.028905,35.5773683,Level 2,Elgeyo Marakwet,Marakwet East,Sambirir,open,Dispensary,Government/Public Entity
Maji Mazuri Dispensary,-0.0240843,35.6892367,Level 2,Baringo,Koibatek,Mumberes/Maji Mazuri,open,Dispensary,Government/Public Entity
Maji Moto Dispensary(MOGOTIO),0.267103,36.0508907,Level 2,Baringo,Mogotio,Kisanana,open,Dispensary,Government/Public Entity
Lelbatai (Samburu),0.9406946,36.7595673,Level 2,Samburu,NA,Samburu central,open,Medical Clinic,Private
Maji Tamu Health Centre,0.0020585,36.1575632,Level 3,Nakuru,Rongai,Solai,open,Health Center,Government/Public Entity
Makimeny Dispensary,-0.8406114,35.1962466,Level 2,Bomet,Chepalungu,Kong'asis,open,Health Center,Government/Public Entity
Mangu Dispensary (Rongai),-0.2210189,35.9523569,Level 2,Nakuru,Rongai,Menengai West,open,Health Center,Government/Public Entity
Nuru Alpha Medical Clinic (Kajiado),-2.436316,36.8471451,Level 2,Kajiado,NA,Matapato south,open,Medical Clinic,Private
Maparasha Dispensary,-2.2002141,36.9184869,Level 2,Kajiado,Kajiado Central,Matapato North,open,Dispensary,Government/Public Entity
Maraigushu Dispensary,-0.7417167,36.530337,Level 2,Nakuru,Naivasha,Naivasha East,open,Dispensary,Government/Public Entity
Maralal Catholic Dispensary,1.0910152,36.7074312,Level 2,Samburu,Samburu Central,Maralal,open,Health Center,Faith Based
Mararianta Health Centre,-1.2139211,35.0598047,Level 3,Narok,Narok West,Mara,open,Health Center,Faith Based
Mariashoni Health Centre,-0.3682305,35.8221793,Level 2,Nakuru,Molo,Mariashoni,open,Health Center,Government/Public Entity
Marich Dispensary,1.5321047,35.4514168,Level 2,West Pokot,Pokot Central,Sekerr,open,Dispensary,Government/Public Entity
Maridadi Dispensary,1.119124,35.0121996,Level 2,Trans Nzoia,Kwanza,Kwanza,open,Dispensary,Government/Public Entity
Marie Stopes Health Centre (Eldoret West),0.5201468,35.2674254,Level 3,Uasin Gishu,Kapseret,Kipkenyo,open,Medical Clinic,Private
Marigat Catholic Mission,0.468187,35.9830618,Level 2,Baringo,Marigat,Marigat,open,Health Center,Government/Public Entity
Marinyin Dispensary,-0.43186,35.2955267,Level 2,Bomet,Konoin,Chepchabas,open,Dispensary,Private
Mariwa Dispensary (Kipkelion),-0.1165263,35.2408323,Level 2,Kericho,Kipkelion West,Kunyak,open,Dispensary,Government/Public Entity
Maron Dispensary,1.128702,35.8959861,Level 2,Baringo,East Pokot,Ribkwo,open,Dispensary,Government/Public Entity
Maron-Marichor Dispensary,1.2242973,35.5800051,Level 2,Elgeyo Marakwet,Marakwet East,Embobut/Embulot,open,Dispensary,Government/Public Entity
Marti health Centre,1.4744247,36.7212493,Level 2,Samburu,Samburu North,Nachola,open,Health Center,Government/Public Entity
Marura Dispensary,-0.0048436,36.9461649,Level 2,Laikipia,Laikipia North,Segera,open,Dispensary,Government/Public Entity
Mary Finch Dispensary,-0.1454193,35.6005929,Level 2,Kericho,Kipkelion East,Kedowa/Kimugul,open,Dispensary,Faith Based
Kobodo Health Care Limited (Homa Bay),-0.669027,34.4173119,Level 2,Homa Bay,NA,Kologi kanyamwa,open,Medical Clinic,Private
Mary Immaculate Dispensary (Eldoret East),0.4317787,35.460871,Level 2,Uasin Gishu,Ainabkoi,Kaptagat,open,Health Center,Faith Based
Mary Immaculate Dispensary (Laikipia East),0.0199153,37.0840508,Level 2,Laikipia,Laikipia East,Nanyuki,open,Dispensary,Faith Based
Masaita/ Miti-Tatu Dispensary,-0.0901916,35.6088399,Level 2,Kericho,Kipkelion East,Tendeno/Sorget,open,Dispensary,Government/Public Entity
Rycent Medical Centre (Homa Bay),-0.6690364,34.4172719,Level 2,Homa Bay,NA,Kaloka,open,Medical Center,Private
Masurura Dispensary,-1.1982341,34.6996713,Level 2,Narok,Transmara West,Lolgorian,open,Dispensary,Government/Public Entity
Matanya Dispensary,-0.050456,36.9407562,Level 2,Laikipia,Laikipia East,Tigithi,open,Dispensary,Government/Public Entity
Matasia Nursing Home,-1.3919841,36.6831333,Level 3,Kajiado,Kajiado North,Olkeri,open,Nursing Home,Private
Matharu Dispensary,0.1046773,35.5048474,Level 2,Uasin Gishu,Kesses,Tarakwa,open,Dispensary,Government/Public Entity
Matira Dispensary,0.9290639,35.5596731,Level 2,Elgeyo Marakwet,Marakwet West,Kapsowar,open,Dispensary,Government/Public Entity
Mau Narok Health Centre,-0.6001867,36.0066988,Level 3,Nakuru,Njoro,Mau Narok,open,Health Center,Government/Public Entity
OVARMS Community Medical Services,-0.1608883,35.6946692,Level 2,Nakuru,Kuresoi North,Kamara,open,Medical Clinic,Private
Mau Tea Dispensary,-0.324585,35.3657833,Level 2,Kericho,Kipkelion East,Chepseon,open,Dispensary,Private
Mauche Dispensary,-0.5166394,35.9626256,Level 2,Nakuru,Njoro,Mauche,open,Health Center,Government/Public Entity
Mauche Medical Clinic,-0.5128078,35.9746253,Level 2,Nakuru,Njoro,Mauche,open,Medical Clinic,Private
Mawepi Medical And VCT Centre,-1.4723809,36.9574015,Level 2,Kajiado,Kajiado East,Oloosirkon/Sholinke,open,Medical Clinic,Private
Mbogo Valley Dispensary,-0.0690664,35.3004683,Level 2,Nandi,Tinderet,Tinderet,open,Dispensary,Government/Public Entity
Mbogoini Health Centre,0.1946457,36.2148411,Level 2,Nakuru,Subukia,Waseges,open,Health Center,Government/Public Entity
Megwara Dispensary,-1.5894984,35.4262391,Level 2,Narok,Narok West,Siana,open,Dispensary,Government/Public Entity
Meibeki Dispensary,0.8832312,35.3876163,Level 2,Uasin Gishu,Moiben,Karuna/Meibeki,open,Dispensary,Government/Public Entity
Melwa Health Centre,0.2338652,36.4392487,Level 3,Laikipia,Laikipia West,Marmanet,open,Health Center,Government/Public Entity
Kimologit (Kericho),-0.1220076,35.4809585,Level 2,Kericho,NA,Kipkelion,open,Dispensary,Government/Public Entity
Kimologit Dispensary (Kericho county),-0.816705,35.4024363,Level 2,Bomet,Bomet East,Kembu,open,Dispensary,Government/Public Entity
Mercy Dispensary,-0.5735026,35.6138868,Level 2,Nakuru,Kuresoi South,Kiptagich,open,Dispensary,Private
Merewet Dispensary,0.7218496,35.3011322,Level 2,Uasin Gishu,Soy,Soy,open,Dispensary,Government/Public Entity
Merigi Health Centre,-0.7847374,35.4018867,Level 3,Bomet,Bomet East,Merigi,open,Health Center,Government/Public Entity
Merto Dispensary,-0.2424363,35.269437,Level 2,Kericho,Ainamoi,Ainamoi,open,Dispensary,Government/Public Entity
Merueshi Village Community Health Centre,-2.3749217,37.5426467,Level 3,Kajiado,Kajiado East,Kenyawa-poka,open,Health Center,Non-Governmental Organization
Meto Dispensary,-2.4110222,36.5498653,Level 2,Kajiado,Kajiado Central,Matapato South,open,Dispensary,Government/Public Entity
Metta Dispensary,-0.5786922,36.0329905,Level 2,Nakuru,Njoro,Mau Narok,open,Dispensary,Government/Public Entity
Mile 46 Health Centre,-1.8964089,36.5882707,Level 3,Kajiado,Kajiado West,Iloodokilani,open,Health Center,Government/Public Entity
Milima Tatu Dispensary,4.1342581,35.4671336,Level 2,Turkana,Turkana North,Kaeris,open,Dispensary,Private
Marie Stopes Kenya (Pangani Clinic) (Nairobi),-1.2676146,36.8341905,Level 2,Nairobi,NA,Starehe,open,Medical Clinic,Private
Minjore Dispensary,0.439799,36.4569305,Level 2,Laikipia,Laikipia North,Sosian,open,Dispensary,Government/Public Entity
Miskwony Dispensary,1.5805836,35.1496225,Level 2,West Pokot,West Pokot,Riwo,open,Dispensary,Government/Public Entity
Miti-Mingi Dispensary,-0.5283964,36.0760137,Level 2,Nakuru,Gilgil,Elementaita,open,Dispensary,Government/Public Entity
Mobet Dispensary,0.8062522,35.1488458,Level 2,Uasin Gishu,Soy,Kipsomba,open,Dispensary,Government/Public Entity
Mochongoi Health Centre,0.3130258,36.1861695,Level 3,Baringo,Marigat,Mochongoi,open,Health Center,Government/Public Entity
Mogil Health Centre,1.0466917,35.6287467,Level 3,Elgeyo Marakwet,Marakwet East,Sambirir,open,Health Center,Government/Public Entity
Mogoget Dispensary,0.3173251,35.2177125,Level 2,Nandi,Chesumei,Lelmoko/Ngechek,open,Dispensary,Government/Public Entity
Mogoon Dispensary,0.8693621,35.178453,Level 2,Uasin Gishu,Soy,Kapkures,open,Dispensary,Government/Public Entity
Mogorwa Health Centre,0.3089324,35.7165816,Level 3,Baringo,Baringo Central,Tenges,open,Health Center,Government/Public Entity
Mogotio Catholic Dispensary,-0.0210376,35.9590793,Level 2,Baringo,Mogotio,Mogotio,open,Dispensary,Faith Based
Mogotio Plantation Dispensary,0.0523208,35.9635855,Level 2,Nakuru,Rongai,Soin,open,Dispensary,Government/Public Entity
Mogwa Dispensary,-0.391963,35.0149339,Level 2,Kericho,Sigowet/Soin,Kaplelartet,open,Medical Clinic,Private
Moi Ndabi Dispensary,-0.8048296,36.2462851,Level 2,Nakuru,Naivasha,Maeilla,open,Dispensary,Government/Public Entity
Moi University Health Centre,0.2853119,35.2882604,Level 3,Uasin Gishu,Kesses,Tulwet/Chuiyat,open,Health Center,Government/Public Entity
Moiben Health Centre,0.5138726,35.2787109,Level 3,Uasin Gishu,Moiben,Moiben,open,Health Center,Government/Public Entity
Mwangaza Regional Medical Centre (Nairobi),-1.2681765,36.8947144,Level 3,Nairobi,NA,Mowlem,open,Medical Center,Private
Moi's Bridge Catholic,0.8734586,35.1252057,Level 3,Uasin Gishu,Soy,Moi's Bridge,open,Health Center,Faith Based
Moi's Bridge Health Centre,0.8730093,35.1229683,Level 3,Uasin Gishu,Soy,Moi's Bridge,open,Health Center,Government/Public Entity
Molo Medical Centre,-0.2441931,35.7291498,Level 2,Nakuru,Molo,Molo,open,Medical Clinic,Private
Molo South Dispensary,-0.3451419,35.6617876,Level 2,Nakuru,Kuresoi North,Nyota,open,Dispensary,Government/Public Entity
Molok Dispensary,0.3014543,35.9756191,Level 2,Baringo,Mogotio,Emining,open,Dispensary,Government/Public Entity
