"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Bubisa healthcentre",2.6949924,38.0931879,"Level 3","Marsabit","North Horr","Turbi","open","Health Center","Government/Public Entity",1,"Marsabit",TRUE
"Tigo Dispensary",3.0931207,38.2540147,"Level 2","Marsabit","North Horr","Turbi","open","Dispensary","Government/Public Entity",2,"Marsabit",TRUE
"New Hope Medical Centre (Machakos)",-1.40889,37.5646112,"Level 2","Machakos",NA,"Wamunyu","open","Medical Clinic","Private",3,"Machakos",TRUE
"Abicom",-0.4383692,37.1068717,"Level 2","Nyeri","Mathira West","Kirimukuyu","open","Dispensary","Private",4,"Nyeri",TRUE
"Afya Medical Clinic (Muranga North)",-0.6524305,36.8986702,"Level 2","Muranga","Kangema","Rwathia","open","Medical Clinic","Private",5,"Muranga",TRUE
"Aguthi Dispensary",-0.501829,37.0239489,"Level 2","Nyeri","Tetu","Aguthi-gaaki","open","Dispensary","Government/Public Entity",6,"Nyeri",TRUE
"Ahadi Health and Maternity Services",-1.0013013,36.7413292,"Level 2","Kiambu","Lari","Nyanduma","open","Medical Clinic","Private",7,"Kiambu",TRUE
"Cardinal Otunga Health Centre",-0.9889686,36.9557562,"Level 2","Kiambu","Gatundu North","Mang'u","open","Health Center","Faith Based",8,"Kiambu",TRUE
"Princess Diamond Medical Clinic (Narok)",-1.2286423,34.8092668,"Level 2","Narok",NA,"Lolkorian","open","Medical Clinic","Private",9,"Narok",TRUE
"Gituamba (AIPCA) Dispensary",-0.9432476,36.987037,"Level 2","Muranga","Gatanga","Mugumo-ini","open","Dispensary","Faith Based",10,"Muranga",TRUE
"Gladwell Community Health Services",-0.4921798,36.9677339,"Level 2","Nyeri","Tetu","Wamagana","open","Medical Clinic","Private",11,"Nyeri",TRUE
"AMA (Africa Muslim Agency) Clinic",-1.0592164,37.1140821,"Level 2","Kiambu","Thika Town","Kamenu","open","Health Center","Faith Based",12,"Kiambu",TRUE
"Nahrain Dental Clinic (Nairobi)",-1.2716515,36.8481675,"Level 2","Nairobi",NA,"Kamkunji","open","Medical Clinic","Private",13,"Nairobi",TRUE
"Amboni Dispensary",-0.3375199,36.8727928,"Level 2","Nyeri","Kieni West","Mweiga","open","Dispensary","Government/Public Entity",14,"Nyeri",TRUE
"Anmer Dispensary",-1.1371382,36.8476017,"Level 2","Kiambu","Kiambu Town","Ting'ang'a","open","Dispensary","Government/Public Entity",15,"Kiambu",TRUE
"Annunciation Catholic Dispensary",-1.2129787,36.9694991,"Level 2","Kiambu","Ruiru","Mwihoko","open","Dispensary","Faith Based",16,"Kiambu",TRUE
"Rescue Centre (Thika)",-1.0593417,37.135235,"Level 2","Kiambu","Thika Town","Hospital","open","Dispensary","Government/Public Entity",17,"Kiambu",TRUE
"Arcade Medical Clinic",-0.4802361,37.1240064,"Level 2","Nyeri","Mathira East","Karatina Town","open","Medical Clinic","Private",18,"Nyeri",TRUE
"Asantey Clinic",-1.0351624,37.076757,"Level 2","Kiambu","Thika Town","Kamenu","open","Medical Clinic","Private",19,"Kiambu",TRUE
"Assumption of Mary Health Centre",-0.999247,37.3392051,"Level 3","Muranga","Gatanga","Ithanga","open","Nursing Home","Faith Based",20,"Muranga",TRUE
"Athi Dispensary",-1.1695868,37.1449677,"Level 2","Kiambu","Juja","Kalimoni","open","Dispensary","Government/Public Entity",21,"Kiambu",TRUE
"Atlas Medical Clinic",-0.5478429,36.9429822,"Level 2","Nyeri","Nyeri South","Iria-ini","open","Medical Clinic","Private",22,"Nyeri",TRUE
"Baari Health centre",0.0118418,36.4146235,"Level 3","Nyandarua","Ndaragwa","Kiritta","open","Health Center","Government/Public Entity",23,"Nyandarua",TRUE
"Bamboo Health Centre",-0.8627436,36.5663302,"Level 3","Nyandarua","Kinangop","Magumu","open","Health Center","Government/Public Entity",24,"Nyandarua",TRUE
"Baraka Medical Clinic (Muranga North)",-0.7405149,36.9659554,"Level 2","Muranga","Kiharu","Township","open","Medical Center","Private",25,"Muranga",TRUE
"Baricho Catholic Health Centre",-0.5540185,37.2290449,"Level 3","Kirinyaga","Kirinyaga West","Mukure","open","Health Center","Faith Based",26,"Kirinyaga",TRUE
"Baricho Health Centre",-0.5529472,37.2397435,"Level 3","Kirinyaga","Kirinyaga West","Mukure","open","Health Center","Government/Public Entity",27,"Kirinyaga",TRUE
"Batian Medical Services Medical Clinic",0.5862918,34.5664299,"Level 3","Bungoma",NA,"Khalaba","open","Medical Center","Private",28,"Bungoma",TRUE
"Bellevue Health Centre",-0.2280056,36.730158,"Level 3","Nyeri","Kieni West","Mugunda","open","Health Center","Government/Public Entity",29,"Nyeri",TRUE
"Bennedict XVI hospital",0.0391024,36.3348907,"Level 2","Laikipia","Laikipia West","Igwamiti","open","Hospital","Faith Based",30,"Laikipia",TRUE
"Bethany Family Clinic",-0.3012488,36.7710582,"Level 2","Nyeri","Kieni West","Gatarakwa","open","Medical Clinic","Private",32,"Nyeri",TRUE
"Bethsaida Medical Clinic (Gatundu)",-1.0126997,36.9051602,"Level 2","Kiambu","Gatundu South","Ngenda","open","Medical Clinic","Private",33,"Kiambu",TRUE
"Boore Clinic",-1.0362653,37.0766017,"Level 2","Kiambu","Thika Town","Township","open","Medical Clinic","Private",34,"Kiambu",TRUE
"Burguret Dispensary",-0.0738952,37.0009216,"Level 2","Nyeri","Kieni East","Gakawa","open","Dispensary","Government/Public Entity",35,"Nyeri",TRUE
"Joschem Medical Centre (Nairobi)",-1.2760948,36.8994359,"Level 3","Nairobi",NA,"Umoja 2","open","Medical Center","Private",36,"Nairobi",TRUE
"Ciagini Health Centre",-0.7562441,37.3791168,"Level 3","Kirinyaga","Kirinyaga North/Mwea West","Wamumu","open","Health Center","Government/Public Entity",37,"Kirinyaga",TRUE
"Christian Community Services Clinic Base Kerugoya",-0.5029595,37.2790603,"Level 2","Kirinyaga","Kirinyaga Central","Kerugoya","open","Dispensary","Faith Based",38,"Kirinyaga",TRUE
"Christian Community Services Wang'uru Health Centre",-0.6875603,37.351953,"Level 2","Kirinyaga","Kirinyaga South","Tebere","open","Health Center","Faith Based",39,"Kirinyaga",TRUE
"Tassia Health  Centre (Nairobi)",-1.3108771,36.8993797,"Level 2","Nairobi",NA,"Embakasi","open","Medical Clinic","Private",40,"Nairobi",TRUE
"Mahadco Medical Centre (Nairobi)",-1.2707923,36.8475634,"Level 2","Nairobi",NA,"Kamkunji","open","Medical Center","Private",41,"Nairobi",TRUE
"Hasaf Health Centre (Nairobi)",-1.2693937,36.8472,"Level 2","Nairobi",NA,"Kamkunji","open","Health Center","Private",42,"Nairobi",TRUE
"Cianda Dispensary",-1.1306407,36.7644151,"Level 2","Kiambu","Kiambaa","Cianda","open","Dispensary","Government/Public Entity",43,"Kiambu",TRUE
"Comrade Nurising Home",-0.68355,37.3548365,"Level 3","Kirinyaga","Kirinyaga South","Tebere","open","Nursing Home","Private",44,"Kirinyaga",TRUE
"Coffee Research Staff dispensary",-1.096854,36.9069202,"Level 2","Kiambu","Juja","Murera","open","Dispensary","Government/Public Entity",45,"Kiambu",TRUE
"Cura (ACK) Medical Clinic",-1.217276,36.6908298,"Level 2","Kiambu","Kabete","Gitaru","open","Medical Clinic","Faith Based",46,"Kiambu",TRUE
"Del Monte Dispensary",-1.0305344,37.1177343,"Level 2","Muranga","Gatanga","Kakuzi/Mitubiri","open","Dispensary","Private",47,"Muranga",TRUE
"Difathas Catholic Dispensary",-0.5541535,37.4008381,"Level 2","Kirinyaga","Kirinyaga South","Murinduko","open","Dispensary","Faith Based",48,"Kirinyaga",TRUE
"Difathas Health Centre",-0.5540311,37.4018186,"Level 3","Kirinyaga","Kirinyaga South","Murinduko","open","Health Center","Government/Public Entity",49,"Kirinyaga",TRUE
"Don Bosco Catholic Dispensary",-0.9086855,37.1973654,"Level 2","Muranga","muranga south","Makuyu","open","Dispensary","Faith Based",50,"Muranga",TRUE
"Kianjogu Dispensary (Nyandarua)",0.0018483,36.5419872,"Level 2","Nyandarua",NA,"Ndaragwa","open","Dispensary","Government/Public Entity",51,"Nyandarua",TRUE
"Amo Dental Clinic (Nyamira)",-0.5572763,34.9299806,"Level 2","Nyamira",NA,"Township","open","Stand-Alone service","Private",52,"Nyamira",TRUE
"Dr Kanina B K Urology Clinic",-0.4245499,36.9354412,"Level 2","Nyeri","Nyeri Central","Kiganjo/Mathari","open","Medical Clinic","Private",53,"Nyeri",TRUE
"Dr Kariuki N M Psychiatric Clinic",-0.4230179,36.9530212,"Level 2","Nyeri","Nyeri Central","Rware","open","Medical Clinic","Private",54,"Nyeri",TRUE
"Dr Kimani Gicharo Clinic",-1.0342753,37.0747161,"Level 2","Kiambu","Thika Town","Township","open","Medical Clinic","Private",55,"Kiambu",TRUE
"Port Florence Kisumu Town Clinic (Kisumu)",-0.104146,34.7526002,"Level 3","Kisumu",NA,"Milimani Market","open","Hospital","Private",56,"Kisumu",TRUE
"Dr M M Mburu Gynae / Obstretric Clinic",-0.4210498,36.9488067,"Level 2","Nyeri","Nyeri Central","Rware","open","Medical Clinic","Private",57,"Nyeri",TRUE
"Dr Maina",-1.0385426,37.0809323,"Level 2","Kiambu","Thika Town","Hospital","open","Medical Clinic","Private",59,"Kiambu",TRUE
"Thika Arcade Health Services",-1.0385215,37.0768967,"Level 2","Kiambu","Thika Town","Township","open","Medical Center","Private",60,"Kiambu",TRUE
"Dr Mulingwa",-1.0364164,37.0760985,"Level 2","Kiambu","Thika Town","Kamenu","open","Medical Clinic","Private",61,"Kiambu",TRUE
"New Life Home Trust (Kisumu)",-0.1170643,34.7528234,"Level 2","Kisumu",NA,"Milimani market","open","Medical Clinic","Private",62,"Kisumu",TRUE
"Dr Mwangi Medical Clinic",-0.4219189,36.9505447,"Level 2","Nyeri","Nyeri Central","Rware","open","Medical Clinic","Private",63,"Nyeri",TRUE
"Ebenezer Medical Clinic (Lari)",-1.0400983,36.638411,"Level 2","Kiambu","Lari","Lari/Kirenga","open","Medical Clinic","Private",64,"Kiambu",TRUE
"Ebenezer Intergrated Health Services",-1.0435342,37.0939426,"Level 2","Kiambu","Thika Town","Township","open","Medical Clinic","Private",65,"Kiambu",TRUE
"Embaringo Dispensary",-0.2589028,36.7281277,"Level 2","Nyeri","Kieni West","Gatarakwa","open","Dispensary","Government/Public Entity",66,"Nyeri",TRUE
"Emmanuel Medical Clinic (Nyeri North)",-0.1224389,36.7788628,"Level 2","Nyeri","Kieni West","Mugunda","open","Medical Clinic","Private",67,"Nyeri",TRUE
"Endarasha Rural Health Centre",-0.3065368,36.7936245,"Level 3","Nyeri","Kieni West","Mwiyogo/Endarasha","open","Health Center","Government/Public Entity",68,"Nyeri",TRUE
"Eunice Medical Clinic",-0.5477465,36.9429233,"Level 2","Nyeri","Nyeri South","Iria-ini","open","Medical Clinic","Private",69,"Nyeri",TRUE
"Faith Medical Clinic (Nyeri North)",-0.3277452,36.9053469,"Level 2","Nyeri","Kieni West","Mweiga","open","Medical Clinic","Government/Public Entity",70,"Nyeri",TRUE
"Potter Community Healthcare (Nairobi)",-1.2741149,36.9189039,"Level 3","Nairobi",NA,"Kayole","open","Medical Clinic","Private",71,"Nairobi",TRUE
"Light Medical Centre (Nairobi)",-1.285053,36.7351234,"Level 2","Nairobi",NA,"Kawangware","open","Medical Clinic","Private",72,"Nairobi",TRUE
"Blitz Medical Centre (Nairobi)",-1.1987203,36.902312,"Level 2","Nairobi",NA,"Zimmerman","open","Medical Center","Private",73,"Nairobi",TRUE
"Focus Medical Clinic and Counselling Centre",-1.208936,36.9178179,"Level 2","Kiambu","Ruiru","Mwiki","open","Medical Center","Private",74,"Kiambu",TRUE
"Fr Baldo Catholic Dispensary",-0.2750652,36.3696798,"Level 2","Nyandarua","Olkalou","Karau","open","Dispensary","Faith Based",75,"Nyandarua",TRUE
"Frayjoy Clinic (Dr Tumbo)",-0.5687484,37.3252097,"Level 2","Kirinyaga","Kirinyaga South","Nyangati","open","Nursing Home","Private",76,"Kirinyaga",TRUE
"Gacharage Dispensary",-0.8630818,36.9643204,"Level 2","Muranga","Kandara","Ithiru","open","Dispensary","Government/Public Entity",77,"Muranga",TRUE
"Gacharageini Dispensary",-0.6293348,36.8791398,"Level 2","Muranga","Mathioya","Kiru","open","Dispensary","Government/Public Entity",78,"Muranga",TRUE
"Gachege Dispensary",-0.9099776,36.8081916,"Level 2","Kiambu","Gatundu North","Githobokoni","open","Dispensary","Government/Public Entity",79,"Kiambu",TRUE
"Gachika Dispensary",-0.9760561,36.7815333,"Level 2","Kiambu","Gatundu South","Kiganjo","open","Dispensary","Government/Public Entity",80,"Kiambu",TRUE
"Gaciongo Dispensary (Kirinyaga)",-0.4759657,37.4134404,"Level 2","Kirinyaga","Kirinyaga East","Njukiine","open","Dispensary","Government/Public Entity",81,"Kirinyaga",TRUE
"Gakawa Dispensary",-0.0273108,37.0792648,"Level 2","Nyeri","Kieni East","Gakawa","open","Dispensary","Government/Public Entity",82,"Nyeri",TRUE
"Gakoe Health Centre",-0.8917132,36.811254,"Level 3","Kiambu","Gatundu North","Githobokoni","open","Health Center","Government/Public Entity",83,"Kiambu",TRUE
"Gatanga Dispensary",-0.9386353,36.9622503,"Level 2","Muranga","Gatanga","Gatanga","open","Dispensary","Faith Based",84,"Muranga",TRUE
"Gatangara Dispensary",-0.7116596,36.954866,"Level 2","Muranga","Kangema","Kanyenya-ini","open","Dispensary","Government/Public Entity",85,"Muranga",TRUE
"Gatei Dispensary",-0.4025021,37.1521001,"Level 2","Nyeri","Mathira East","Magutu","open","Health Center","Government/Public Entity",86,"Nyeri",TRUE
"Gathaithi Dispensary",-0.7498027,36.9146696,"Level 2","Muranga","Kiharu","Murarandia","open","Dispensary","Government/Public Entity",87,"Muranga",TRUE
"Gathambi Health Centre",-0.4685382,37.2111636,"Level 3","Kirinyaga","Kirinyaga West","Mukure","open","Health Center","Government/Public Entity",88,"Kirinyaga",TRUE
"Gathara Dispensary",-0.630028,36.6144967,"Level 2","Nyandarua","Kinangop","Gathara","open","Dispensary","Government/Public Entity",90,"Nyandarua",TRUE
"Gatheru Dispensary",-0.7324745,37.074903,"Level 2","Muranga","Kiharu","Wangu","open","Dispensary","Government/Public Entity",91,"Muranga",TRUE
"Gathigiriri Health Centre",-0.6933381,37.4057049,"Level 3","Kirinyaga","Kirinyaga South","Gathigiriri","open","Health Center","Government/Public Entity",92,"Kirinyaga",TRUE
"Nami Medical Clinic Kakubudu (Vihiga)",0.1500946,34.8993723,"Level 2","Nandi",NA,"Shiru","open","Medical Clinic","Private",93,"Nandi",TRUE
"Gatina Dispensary",-0.5469282,37.1454721,"Level 2","Nyeri","Mathira East","Konyu","open","Dispensary","Government/Public Entity",94,"Nyeri",TRUE
"Gatithi Dispensary",-0.5830588,37.1920869,"Level 2","Kirinyaga","Kirinyaga West","Kiine","open","Dispensary","Government/Public Entity",95,"Kirinyaga",TRUE
"Gatitu Dispensary",-0.4593383,36.9968166,"Level 2","Nyeri","Nyeri Central","Gatitu/Muruguru","open","Dispensary","Government/Public Entity",96,"Nyeri",TRUE
"Gatondo Dispensary (Kipipiri)",-0.262923,36.5113302,"Level 2","Nyandarua","Kipipiri","Wanjohi","open","Dispensary","Government/Public Entity",97,"Nyandarua",TRUE
"Gatondo Dispensary (Nyeri North)",-0.4332459,37.1656654,"Level 2","Nyeri","Mathira East","Iriaini","open","Dispensary","Government/Public Entity",98,"Nyeri",TRUE
"Mandera Optical And Eye Clinic (Mandera)",3.937005,41.8591654,"Level 3","Mandera",NA,"Township","open","Medical Clinic","Private",99,"Mandera",TRUE
"Gatuamba Medical Clinic",-0.2479592,37.0320901,"Level 2","Nyeri","Kieni East","Naromoru/Kiamathaga","open","Medical Clinic","Private",100,"Nyeri",TRUE
"Gatuanyaga Dispensary",-1.0756688,37.1815523,"Level 2","Kiambu","Thika Town","Gatuanyaga","open","Dispensary","Government/Public Entity",101,"Kiambu",TRUE
"Gatugura Dispensary",-0.4603587,37.3190088,"Level 2","Kirinyaga","Kirinyaga East","Kabare","open","Dispensary","Government/Public Entity",102,"Kirinyaga",TRUE
"Gatumbi (SDA) Dispensary",-0.4183185,37.3931894,"Level 2","Kirinyaga","Kirinyaga East","Ngariama","open","Dispensary","Faith Based",103,"Kirinyaga",TRUE
"Gatunyu Dispensary",-0.9605591,36.9917039,"Level 2","Muranga","Gatanga","Mugumo-ini","open","Dispensary","Government/Public Entity",104,"Muranga",TRUE
"Gatura Healh Centre",-0.8627177,36.8620275,"Level 3","Muranga","Gatanga","Kariara","open","Health Center","Government/Public Entity",105,"Muranga",TRUE
"Gatwe Health Centre",-0.4347191,37.2382787,"Level 3","Kirinyaga","Kirinyaga Central","Mutira","open","Health Center","Government/Public Entity",106,"Kirinyaga",TRUE
"Lyns Medical Laboratory (Uasin Gishu)",0.5161005,35.2765021,"Level 2","Uasin Gishu",NA,"Kimumu","open","Stand-Alone service","Private",107,"Uasin Gishu",TRUE
"Geta Bush Health centre",-0.4115877,36.5840043,"Level 3","Nyandarua","Kipipiri","Geta","open","Health Center","Government/Public Entity",108,"Nyandarua",TRUE
"Geta Forest Dispensary",-0.4445885,36.5943195,"Level 2","Nyandarua","Kinangop","North Kinangop","open","Dispensary","Government/Public Entity",109,"Nyandarua",TRUE
"Maai Mahiu Medical Centre (Nakuru)",-0.9789439,36.5828851,"Level 2","Nakuru",NA,"Maai mahiu","open","Medical Clinic","Private",110,"Nakuru",TRUE
"Giathanini Dispensary",-0.9425214,37.3186227,"Level 2","Machakos","Gatanga","Ithanga","open","Dispensary","Government/Public Entity",111,"Machakos",TRUE
"Gichiche Health Centre",-0.5801007,36.9204146,"Level 3","Nyeri","Nyeri South","Chinga","open","Health Center","Government/Public Entity",112,"Nyeri",TRUE
"Gichiche Medical Clinic",-0.5783929,36.9250874,"Level 2","Nyeri","Nyeri South","Chinga","open","Medical Clinic","Private",113,"Nyeri",TRUE
"Gichira Health Centre",-0.4843541,37.0087764,"Level 3","Nyeri","Tetu","Aguthi-gaaki","open","Health Center","Government/Public Entity",114,"Nyeri",TRUE
"Gichuru Dispensary",-1.2139,36.6602317,"Level 2","Kiambu","Kikuyu","Sigona","open","Dispensary","Government/Public Entity",115,"Kiambu",TRUE
"Gikoe Dispensary",-0.7618,36.9063917,"Level 2","Muranga","Kigumo","Kinyona","open","Dispensary","Government/Public Entity",116,"Muranga",TRUE
"Gikui Health Centre",-0.6866059,37.0192937,"Level 3","Muranga","Kangema","Muguru","open","Health Center","Government/Public Entity",117,"Muranga",TRUE
"Gitare Health Centre (Gatundu)",-1.0029172,36.8188654,"Level 3","Kiambu","Gatundu South","Kiganjo","open","Health Center","Government/Public Entity",118,"Kiambu",TRUE
"Gitaro Dispensary",-0.7459394,37.0746604,"Level 2","Muranga","Kiharu","Mugoiri","open","Dispensary","Government/Public Entity",119,"Muranga",TRUE
"Githagara Health Centre",-0.7599701,37.0133437,"Level 3","Muranga","Kiharu","Mugoiri","open","Health Center","Government/Public Entity",120,"Muranga",TRUE
"The Pramukh Hospital Limited (Bungoma)",0.5594134,34.5610754,"Level 3","Bungoma",NA,"Township","open","Medical Center","Private",121,"Bungoma",TRUE
"Githiga Health Centre",-1.0874199,36.7354003,"Level 3","Kiambu","Githunguri","Githiga","open","Health Center","Government/Public Entity",122,"Kiambu",TRUE
"Githirioni Dispensary",-1.0241819,36.6500814,"Level 2","Kiambu","Lari","Lari/Kirenga","open","Dispensary","Government/Public Entity",123,"Kiambu",TRUE
"Elephant Dental Kasarani (Nairobi)",-1.2191031,36.8954292,"Level 2","Nairobi",NA,"Kasarani","open","other","Private",124,"Nairobi",TRUE
"Githunguri Health Centre",-1.0574388,36.7778834,"Level 3","Kiambu","Githunguri","Githunguri","open","Health Center","Government/Public Entity",125,"Kiambu",TRUE
"Githunguri Health Services Clinic",-1.0556318,36.7765948,"Level 2","Kiambu","Githunguri","Githunguri","open","Medical Center","Private",126,"Kiambu",TRUE
"Githunguri Heathwatch Clinic",-1.0606345,36.7715486,"Level 2","Kiambu","Githunguri","Githunguri","open","Medical Center","Private",127,"Kiambu",TRUE
"Githunguri Medical Plaza Clinic",-1.0562981,36.7785832,"Level 2","Kiambu","Githunguri","Githunguri","open","Medical Clinic","Private",128,"Kiambu",TRUE
"Nuclear Medical and Diagnostic Centre",-0.4449403,37.4102666,"Level 2","Kirinyaga","Kirinyaga East","Ngariama","open","Medical Center","Private",129,"Kirinyaga",TRUE
"Gitiha Dispensary",-1.0668453,36.6873419,"Level 2","Kiambu","Githunguri","Githiga","open","Dispensary","Government/Public Entity",130,"Kiambu",TRUE
"Gituamba Medical Clinic",-0.906841,36.8599879,"Level 2","Kiambu","Gatundu North","Gituamba","open","Medical Clinic","Private",131,"Kiambu",TRUE
"Gitugi Health Centre (Muranga North)",-0.65401,37.0275728,"Level 2","Muranga","Mathioya","Gitugi","open","Health Center","Government/Public Entity",132,"Muranga",TRUE
"Gitugi Dispensary (Nyeri South)",-0.51422,36.862565,"Level 2","Nyeri","Nyeri South","Mahiga","open","Dispensary","Government/Public Entity",133,"Nyeri",TRUE
"Gituru (AIC) Dispensary",-0.8223727,36.8689984,"Level 2","Muranga","Kandara","Ruchu","open","Dispensary","Faith Based",134,"Muranga",TRUE
"GK Prison Dispensary (Gathigiriri )",-0.6935188,37.4009968,"Level 2","Kirinyaga","Kirinyaga South","Gathigiriri","open","Dispensary","Government/Public Entity",135,"Kirinyaga",TRUE
"GK Prison Dispensary (Kingongo)",-0.4167181,36.9593577,"Level 2","Nyeri","Nyeri Central","Rware","open","Dispensary","Government/Public Entity",136,"Nyeri",TRUE
"GK Prison Dispensary (Murang'a)",-0.7214631,37.1521575,"Level 2","Muranga","Kiharu","Township","open","Dispensary","Government/Public Entity",137,"Muranga",TRUE
"Ruiru GK Prison Dispensary",-1.1411416,36.9267191,"Level 2","Kiambu","Ruiru","Gitothua","open","Medical Clinic","Government/Public Entity",138,"Kiambu",TRUE
"GK Prisons Dispensary (Kiambu Town)",-1.1747021,36.829817,"Level 2","Kiambu","Kiambu Town","Township","open","Health Center","Government/Public Entity",139,"Kiambu",TRUE
"Glory Medical Clinic",-1.1044628,37.0135652,"Level 2","Kiambu","Juja","Juja","open","Medical Clinic","Private",140,"Kiambu",TRUE
"St Julians Medical Clinic (Makueni)",-1.9470331,37.3836112,"Level 2","Makueni",NA,"Kasikue","open","Medical Clinic","Private",141,"Makueni",TRUE
"Good Samaritan (ACK) Medical Clinic",-0.4197703,36.949516,"Level 2","Nyeri","Nyeri Central","Rware","open","Medical Clinic","Private",142,"Nyeri",TRUE
"Good Samaritan Health Services (Kirinyaga)",-0.622804,37.2576319,"Level 2","Kirinyaga","Kirinyaga North/Mwea West","Mutithi","open","Medical Clinic","Private",143,"Kirinyaga",TRUE
"GSU Dispensary (Ruiru)",-1.1289177,36.9731306,"Level 2","Kiambu","Juja","Murera","open","Dispensary","Government/Public Entity",145,"Kiambu",TRUE
"Gumba Health Centre",-0.604851,37.1371867,"Level 3","Nyeri","Mukurweini","Rugi","open","Health Center","Government/Public Entity",146,"Nyeri",TRUE
"Parklands Mindcare (Nairobi)",-1.2624552,36.8223555,"Level 3","Nairobi",NA,"Parklands","open","Medical Center","Private",147,"Nairobi",TRUE
"Heni Health Centre",-0.7842023,36.5575186,"Level 3","Nyandarua","Kinangop","Githabai","open","Health Center","Government/Public Entity",148,"Nyandarua",TRUE
"Holy Cross Dispensary",-1.1890641,36.5977684,"Level 2","Kiambu","Limuru","Ndeiya","open","Dispensary","Faith Based",149,"Kiambu",TRUE
"Holy Rosary Ikinu Dispensary",-1.0991189,36.7987807,"Level 2","Kiambu","Githunguri","Ikinu","open","Dispensary","Faith Based",150,"Kiambu",TRUE
"Hope Medical Clinic (Gatundu South)",-0.9954031,36.8497015,"Level 2","Kiambu","Gatundu South","Kiganjo","open","Medical Clinic","Private",151,"Kiambu",TRUE
"Ichagachiru Dispensary",-0.4482457,36.8642933,"Level 2","Nyeri","Tetu","Dedan Kimathi","open","Dispensary","Government/Public Entity",152,"Nyeri",TRUE
"Ichagaki (Mission) Health Centre",-0.8107957,37.0868463,"Level 3","Muranga","muranga south","Ichagaki","open","Health Center","Faith Based",153,"Muranga",TRUE
"Ichamara Dispensary",-0.5470749,37.0833839,"Level 2","Nyeri","Mukurweini","Mukurwe-ini Central","open","Dispensary","Government/Public Entity",154,"Nyeri",TRUE
"Ichichi Dispensary",-0.7047843,36.8405394,"Level 2","Muranga","Kangema","Kanyenya-ini","open","Dispensary","Government/Public Entity",155,"Muranga",TRUE
"Igana Dispensary",-0.5848059,37.0937732,"Level 2","Nyeri","Mukurweini","Rugi","open","Dispensary","Government/Public Entity",156,"Nyeri",TRUE
"Ihuririo Dispensary",-0.5486443,36.8884907,"Level 2","Nyeri","Nyeri South","Iria-ini","open","Dispensary","Government/Public Entity",157,"Nyeri",TRUE
"Ihururu Health Centre",-0.4118325,36.890178,"Level 3","Nyeri","Tetu","Dedan Kimathi","open","Health Center","Government/Public Entity",158,"Nyeri",TRUE
"Immanuel Medical Clinic (Kimende)",-0.979272,36.6293919,"Level 2","Kiambu","Lari","Kijabe","open","Medical Clinic","Private",159,"Kiambu",TRUE
"Irigiro Dispensary",-0.8563878,37.1287438,"Level 2","Muranga","Kigumo","Muthithi","open","Dispensary","Government/Public Entity",160,"Muranga",TRUE
"Iruri Dispensary",-0.6155291,37.021875,"Level 2","Muranga","Mathioya","Kamacharia","open","Dispensary","Government/Public Entity",161,"Muranga",TRUE
"Island Farms  Health Centre",-0.2903607,37.104318,"Level 3","Nyeri","Kieni East","Kabaru","open","Health Center","Government/Public Entity",162,"Nyeri",TRUE
"Ithanga Health Centre",-0.9937636,37.3393686,"Level 3","Muranga","Gatanga","Ithanga","open","Health Center","Government/Public Entity",163,"Muranga",TRUE
"Ithare Medical Clinic",-0.5036311,37.3119781,"Level 2","Kirinyaga","Kirinyaga East","Kabare","open","Medical Clinic","Private",164,"Kirinyaga",TRUE
"Ithe-Kahuno Medical Clinic",-0.5086566,37.0457633,"Level 2","Nyeri","Tetu","Aguthi-gaaki","open","Medical Clinic","Private",165,"Nyeri",TRUE
"Itiati Dispensary",-0.4137386,37.1088113,"Level 2","Nyeri","Mathira West","Ruguru","open","Dispensary","Government/Public Entity",166,"Nyeri",TRUE
"Itundu Dispensary",-0.4163565,37.1847449,"Level 2","Nyeri","Mathira East","Iriaini","open","Dispensary","Government/Public Entity",167,"Nyeri",TRUE
"Jamii Medical Clinic (Gatundu)",-0.921711,36.8444012,"Level 2","Kiambu","Gatundu North","Githobokoni","open","Medical Clinic","Private",168,"Kiambu",TRUE
"Jamii Medical Clinic (Muranga North)",-0.749747,37.0077568,"Level 2","Muranga","Kiharu","Mugoiri","open","Medical Clinic","Private",169,"Muranga",TRUE
"Jirani Medical Clinic",-0.7316546,37.1501299,"Level 2","Muranga","Kiharu","Township","open","Medical Clinic","Private",170,"Muranga",TRUE
"Joshua Mbai Memorial Dispensary",-0.4439874,37.4109333,"Level 2","Kirinyaga","Kirinyaga East","Ngariama","open","Dispensary","Government/Public Entity",171,"Kirinyaga",TRUE
"Joyland Medical Clinic",-1.1020044,37.014104,"Level 2","Kiambu","Juja","Juja","open","Medical Clinic","Private",172,"Kiambu",TRUE
"Juja Farm Health Centre",-1.1663946,37.082045,"Level 3","Kiambu","Juja","Kalimoni","open","Medical Center","Government/Public Entity",173,"Kiambu",TRUE
"Kabare Health Centre",-0.5053325,37.3201498,"Level 3","Kirinyaga","Kirinyaga East","Kabare","open","Health Center","Government/Public Entity",174,"Kirinyaga",TRUE
"Kabati Dispensary",-0.2314252,36.8232278,"Level 2","Nyeri","Kieni West","Gatarakwa","open","Dispensary","Government/Public Entity",175,"Nyeri",TRUE
